generation,scenario,seed,best,median,mean,arrival_ratio
270,Shuttle,11,8.56082,2.29768,3.16178,0.134277
271,Shuttle,11,8.62509,2.90944,3.18648,0.135986
272,Shuttle,11,8.6839,2.99508,3.27272,0.143799
273,Shuttle,11,8.6452,3.01656,3.20635,0.13916
274,Shuttle,11,8.75173,2.88205,3.11867,0.132324
275,Shuttle,11,8.62297,3.04489,3.22434,0.140625
276,Shuttle,11,8.7072,2.90307,3.15095,0.136963
277,Shuttle,11,8.56257,2.36191,2.96894,0.122803
278,Shuttle,11,8.679,2.35774,3.0711,0.12793
279,Shuttle,11,8.70536,2.2792,2.96057,0.121582
280,Shuttle,11,8.59087,3.09253,3.26265,0.144775
281,Shuttle,11,8.63535,2.36347,3.11211,0.128418
282,Shuttle,11,8.831,2.49988,3.1331,0.130371
283,Shuttle,11,8.48313,2.12873,2.87917,0.115234
284,Shuttle,11,8.75219,2.10572,2.86388,0.11499
285,Shuttle,11,8.42366,2.25813,3.06593,0.128662
286,Shuttle,11,8.78843,3.0125,3.15951,0.140381
287,Shuttle,11,8.43178,2.89659,3.227,0.144287
288,Shuttle,11,8.57545,2.77165,3.03162,0.131592
289,Shuttle,11,8.57893,2.41292,3.04447,0.12793
290,Shuttle,11,8.46848,2.01717,2.86887,0.119873
291,Shuttle,11,8.7181,2.31474,3.11395,0.133301
292,Shuttle,11,8.7843,2.12801,2.97158,0.124512
293,Shuttle,11,8.59926,2.57038,3.06981,0.128418
294,Shuttle,11,8.57119,2.12873,2.96732,0.126221
295,Shuttle,11,8.9297,2.7514,3.0504,0.132568
296,Shuttle,11,8.53346,2.98775,3.11955,0.136475
297,Shuttle,11,8.56122,2.30158,3.14604,0.134766
298,Shuttle,11,8.54196,2.57029,3.14648,0.135742
299,Shuttle,11,8.49706,2.60764,3.09209,0.135254
