generation,scenario,seed,best,median,mean,arrival_ratio
225,Shuttle,23,7.94422,1.7823,2.07799,0.09375
226,Shuttle,23,8.07061,1.60749,1.95517,0.081543
227,Shuttle,23,7.49993,1.51168,1.86792,0.0756836
228,Shuttle,23,7.98726,1.86309,2.09737,0.0866699
229,Shuttle,23,8.12725,1.71738,2.02647,0.0842285
230,Shuttle,23,8.29995,1.78308,2.2122,0.0927734
231,Shuttle,23,8.29612,1.83007,2.19708,0.0922852
232,Shuttle,23,7.94823,1.91369,2.19738,0.0900879
233,Shuttle,23,8.12706,1.85441,2.12911,0.0891113
234,Shuttle,23,8.09567,1.91997,2.28964,0.0947266
235,Shuttle,23,8.21492,2.02523,2.39217,0.0966797
236,Shuttle,23,8.07505,1.74919,2.16633,0.0883789
237,Shuttle,23,8.21372,1.88169,2.26682,0.0964355
238,Shuttle,23,8.60442,2.02258,2.31563,0.0991211
239,Shuttle,23,8.48146,2.12457,2.39785,0.10083
240,Shuttle,23,8.53011,1.88456,2.41611,0.107178
241,Shuttle,23,8.79468,1.7927,2.16783,0.0925293
242,Shuttle,23,8.33477,1.88495,2.26625,0.100586
243,Shuttle,23,8.44579,1.93309,2.36125,0.0981445
244,Shuttle,23,8.55014,1.88686,2.20623,0.0993652
245,Shuttle,23,8.31639,1.7807,2.19952,0.0939941
246,Shuttle,23,8.22129,1.80678,2.20261,0.0944824
247,Shuttle,23,7.71914,1.87264,2.20235,0.0908203
248,Shuttle,23,7.97051,1.88414,2.2598,0.0932617
249,Shuttle,23,8.09178,1.84485,2.15517,0.0915527
250,Shuttle,23,8.54638,1.82886,2.16918,0.0888672
251,Shuttle,23,8.07965,1.80959,2.15922,0.0910645
252,Shuttle,23,8.20888,1.9358,2.26836,0.0966797
253,Shuttle,23,8.35605,1.78961,2.13819,0.0932617
254,Shuttle,23,7.78678,1.80261,2.24788,0.0964355
255,Shuttle,23,8.49558,1.85406,2.15463,0.0935059
256,Shuttle,23,7.93979,1.98252,2.24283,0.095459
257,Shuttle,23,7.85132,1.88454,2.28043,0.104248
258,Shuttle,23,8.72477,1.93846,2.38241,0.102295
259,Shuttle,23,8.39445,1.9003,2.28644,0.0979004
260,Shuttle,23,8.62513,1.86143,2.27276,0.0947266
261,Shuttle,23,8.43056,1.95544,2.33648,0.104248
262,Shuttle,23,8.48021,1.90703,2.31716,0.102051
263,Shuttle,23,8.09173,2.01908,2.30805,0.101318
264,Shuttle,23,8.37823,1.90158,2.3624,0.107422
265,Shuttle,23,8.23654,1.91931,2.30648,0.106201
266,Shuttle,23,8.30325,1.7992,2.19025,0.0981445
267,Shuttle,23,8.50366,1.75797,2.13345,0.088623
268,Shuttle,23,8.575,2.03926,2.47138,0.114258
269,Shuttle,23,8.15066,2.22335,2.61295,0.118164
270,Shuttle,23,7.72846,2.45627,2.67522,0.123291
271,Shuttle,23,8.4574,2.14904,2.54604,0.11499
272,Shuttle,23,8.85629,2.52937,2.77029,0.125488
